filename,easting_km,northing_km
dop20rgb_32_473_5480_1_bw_2025.tif,473,5480
dop20rgb_32_473_5481_1_bw_2025.tif,473,5481
dop20rgb_32_473_5482_1_bw_2025.tif,473,5482
dop20rgb_32_473_5483_1_bw_2025.tif,473,5483
dop20rgb_32_473_5484_1_bw_2025.tif,473,5484
dop20rgb_32_473_5485_1_bw_2025.tif,473,5485
dop20rgb_32_473_5486_1_bw_2025.tif,473,5486
dop20rgb_32_473_5487_1_bw_2025.tif,473,5487
dop20rgb_32_473_5488_1_bw_2025.tif,473,5488
dop20rgb_32_473_5489_1_bw_2025.tif,473,5489
dop20rgb_32_473_5490_1_bw_2025.tif,473,5490
dop20rgb_32_473_5491_1_bw_2025.tif,473,5491
dop20rgb_32_473_5492_1_bw_2025.tif,473,5492
dop20rgb_32_473_5493_1_bw_2025.tif,473,5493
dop20rgb_32_473_5494_1_bw_2025.tif,473,5494
dop20rgb_32_473_5495_1_bw_2025.tif,473,5495
dop20rgb_32_473_5496_1_bw_2025.tif,473,5496
dop20rgb_32_474_5474_1_bw_2024.tif,474,5474
dop20rgb_32_474_5475_1_bw_2024.tif,474,5475
dop20rgb_32_474_5476_1_bw_2025.tif,474,5476
dop20rgb_32_474_5477_1_bw_2025.tif,474,5477
dop20rgb_32_474_5478_1_bw_2025.tif,474,5478
dop20rgb_32_474_5479_1_bw_2025.tif,474,5479
dop20rgb_32_474_5480_1_bw_2025.tif,474,5480
dop20rgb_32_474_5481_1_bw_2025.tif,474,5481
dop20rgb_32_474_5482_1_bw_2025.tif,474,5482
dop20rgb_32_474_5483_1_bw_2025.tif,474,5483
dop20rgb_32_474_5484_1_bw_2025.tif,474,5484
dop20rgb_32_474_5485_1_bw_2025.tif,474,5485
dop20rgb_32_474_5486_1_bw_2025.tif,474,5486
dop20rgb_32_474_5487_1_bw_2025.tif,474,5487
dop20rgb_32_474_5488_1_bw_2025.tif,474,5488
dop20rgb_32_474_5489_1_bw_2025.tif,474,5489
dop20rgb_32_474_5490_1_bw_2025.tif,474,5490
dop20rgb_32_474_5491_1_bw_2025.tif,474,5491
dop20rgb_32_474_5492_1_bw_2025.tif,474,5492
dop20rgb_32_474_5493_1_bw_2025.tif,474,5493
dop20rgb_32_474_5494_1_bw_2025.tif,474,5494
dop20rgb_32_474_5495_1_bw_2025.tif,474,5495
dop20rgb_32_474_5496_1_bw_2025.tif,474,5496
